no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,loan_income_ratio
5,1,0,6500000,13400000,18,787,18200000,300000,16200000,5400000,1,2.0615384615384613
4,1,0,8000000,27800000,16,331,13000000,6300000,21400000,10900000,0,3.475
3,0,1,4200000,14600000,6,679,2400000,6900000,8700000,4900000,1,3.4761904761904763
1,1,1,4900000,19100000,14,677,5400000,9100000,17700000,6500000,1,3.8979591836734695
3,0,0,5500000,20500000,12,634,800000,8600000,18500000,8200000,1,3.727272727272727
1,0,1,9500000,19100000,16,662,100000,10500000,37700000,11700000,1,2.0105263157894737
4,1,0,7300000,25400000,16,502,500000,1800000,20500000,10500000,0,3.4794520547945207
2,1,0,8700000,24700000,10,435,6800000,3500000,21800000,11300000,0,2.839080459770115
5,0,0,3800000,7600000,4,689,8700000,100000,9300000,3400000,1,2.0
1,0,1,8400000,23000000,12,657,15400000,14800000,31900000,8200000,1,2.738095238095238
2,1,1,5100000,19700000,20,590,7400000,9300000,19400000,3400000,1,3.8627450980392157
5,0,0,6700000,24500000,12,818,1200000,5600000,16300000,6200000,1,3.656716417910448
2,0,0,4300000,10600000,18,431,2100000,1500000,9300000,5200000,0,2.4651162790697674
5,1,1,9300000,30500000,18,841,19300000,10300000,34600000,8700000,1,3.2795698924731185
1,1,0,7400000,18400000,20,421,18500000,9100000,17500000,4100000,0,2.4864864864864864
4,0,1,5500000,18200000,16,797,-100000,4900000,18600000,4800000,1,3.309090909090909
2,0,0,8500000,18900000,18,478,23800000,16300000,25900000,11400000,0,2.223529411764706
3,0,1,9600000,30500000,18,669,4700000,1900000,26500000,9300000,1,3.1770833333333335
5,0,1,8800000,28900000,6,365,24400000,8600000,27400000,4700000,0,3.284090909090909
3,0,1,3300000,7500000,20,586,1600000,5600000,10500000,2900000,1,2.272727272727273
4,1,1,3900000,12300000,18,784,7600000,6900000,13100000,2800000,1,3.1538461538461537
1,1,0,4100000,10300000,12,364,9500000,6100000,14900000,2800000,0,2.5121951219512195
3,0,0,8300000,29100000,10,715,6100000,11900000,24100000,11900000,1,3.5060240963855422
0,0,1,2700000,10100000,20,693,200000,1700000,5900000,1400000,0,3.740740740740741
4,1,0,5600000,12400000,4,777,5500000,3100000,11800000,5500000,1,2.2142857142857144
0,1,0,1900000,5000000,12,312,4000000,2800000,4900000,2400000,0,2.6315789473684212
4,0,1,500000,1500000,20,340,100000,200000,1900000,600000,0,3.0
5,1,1,5300000,18600000,4,386,2700000,9700000,11900000,4200000,1,3.509433962264151
5,0,0,7000000,18300000,4,418,18400000,11700000,21500000,7600000,0,2.6142857142857143
3,0,1,5800000,16700000,16,735,3900000,9400000,12600000,5600000,1,2.8793103448275863
2,0,0,2600000,8400000,6,494,6500000,3800000,5600000,2000000,0,3.230769230769231
2,0,0,1900000,6500000,18,671,600000,2500000,4800000,1100000,1,3.4210526315789473
4,1,0,5700000,14800000,16,697,14300000,7800000,12900000,6300000,1,2.5964912280701755
0,1,0,9000000,33500000,8,801,11600000,8900000,35400000,11100000,1,3.7222222222222223
2,0,0,8500000,29400000,12,576,17600000,5600000,25200000,9000000,1,3.458823529411765
0,0,0,700000,1400000,14,639,1900000,700000,2400000,900000,1,2.0
4,1,0,3500000,8900000,4,470,1300000,2200000,12300000,2000000,0,2.5428571428571427
0,0,0,8800000,31200000,4,826,2900000,500000,33300000,8600000,1,3.5454545454545454
2,0,1,9900000,21200000,16,363,25500000,11400000,26600000,6800000,0,2.1414141414141414
3,1,0,3600000,8600000,20,613,9400000,300000,10300000,3300000,1,2.388888888888889
3,0,1,3000000,8200000,16,713,5300000,5800000,11000000,3400000,1,2.7333333333333334
2,1,0,6800000,21200000,16,439,17100000,4700000,23300000,3600000,0,3.1176470588235294
5,0,1,1100000,3800000,18,387,1300000,1200000,3800000,1600000,0,3.4545454545454546
1,0,1,8700000,28300000,8,402,20400000,13600000,27900000,10200000,0,3.2528735632183907
4,1,1,2000000,8000000,6,837,5100000,2600000,3900000,2900000,1,4.0
2,0,0,9800000,37600000,10,641,24100000,0,23400000,7600000,1,3.836734693877551
4,1,0,5700000,21100000,18,489,500000,4300000,12500000,6000000,0,3.7017543859649122
4,1,0,8800000,20700000,18,540,19200000,3200000,22400000,12700000,0,2.352272727272727
4,1,0,3800000,8900000,4,844,9100000,3500000,13100000,4700000,1,2.3421052631578947
1,1,0,1700000,6400000,10,452,900000,1100000,5600000,2100000,0,3.764705882352941
2,1,0,1000000,2000000,10,366,1200000,400000,3200000,1300000,0,2.0
5,1,0,300000,1100000,2,300,100000,500000,700000,400000,1,3.6666666666666665
2,1,1,6600000,15000000,18,470,1200000,4800000,18200000,7000000,0,2.272727272727273
2,0,0,8700000,25000000,20,861,14700000,8500000,23200000,7300000,1,2.8735632183908044
4,1,0,9400000,29400000,12,562,25900000,15200000,36400000,7100000,1,3.127659574468085
0,1,0,4400000,10800000,14,463,2400000,4800000,13800000,4700000,0,2.4545454545454546
4,0,0,400000,900000,12,478,700000,100000,1200000,100000,0,2.25
2,0,1,300000,1100000,2,702,300000,200000,500000,200000,1,3.6666666666666665
2,0,1,4300000,12900000,20,618,11400000,3600000,11400000,2400000,1,3.0
4,1,0,1600000,4500000,12,633,700000,1700000,4100000,1900000,1,2.8125
5,0,1,6200000,23600000,10,331,18500000,10300000,23800000,8700000,0,3.806451612903226
3,0,1,4200000,9700000,16,841,7800000,300000,16700000,5100000,1,2.3095238095238093
4,0,1,9000000,18100000,12,764,600000,16500000,20800000,11600000,1,2.011111111111111
0,1,0,2700000,10600000,6,591,1300000,2700000,9900000,1800000,1,3.925925925925926
1,1,1,9700000,35900000,2,719,19600000,7600000,20400000,10900000,1,3.7010309278350517
2,1,0,3300000,6800000,14,317,3400000,300000,11700000,3600000,0,2.0606060606060606
0,0,0,300000,1100000,8,778,800000,200000,900000,100000,1,3.6666666666666665
3,1,1,7400000,18200000,14,302,5600000,3100000,17900000,5000000,0,2.4594594594594597
5,0,0,7100000,19700000,8,502,7300000,5600000,25300000,9800000,0,2.7746478873239435
5,0,1,7300000,22100000,18,879,19500000,10600000,19300000,9800000,1,3.0273972602739727
1,0,0,8400000,23400000,14,437,15400000,5800000,33400000,8100000,0,2.7857142857142856
0,0,1,3300000,10800000,12,797,600000,6000000,7700000,3300000,1,3.272727272727273
4,0,1,5800000,23200000,18,456,16100000,4200000,22600000,7500000,0,4.0
0,0,0,600000,1600000,6,647,1500000,600000,1500000,700000,1,2.6666666666666665
0,0,0,7200000,15800000,12,379,12700000,12200000,21500000,3600000,0,2.1944444444444446
1,0,1,9100000,32900000,2,717,2200000,2000000,23600000,5900000,1,3.6153846153846154
5,1,0,900000,2300000,16,545,100000,200000,2700000,800000,0,2.5555555555555554
2,1,0,800000,3200000,8,317,300000,1000000,2000000,900000,0,4.0
1,0,0,8500000,32900000,10,570,5100000,6200000,20500000,5500000,1,3.8705882352941177
0,0,1,9000000,18700000,18,865,26800000,0,20900000,11300000,1,2.077777777777778
3,1,0,7000000,19500000,14,719,12200000,10300000,18200000,10200000,1,2.7857142857142856
3,1,0,200000,600000,16,821,400000,100000,500000,100000,1,3.0
4,0,1,400000,800000,10,859,900000,500000,800000,200000,1,2.0
3,0,0,5100000,18200000,10,395,100000,8000000,15500000,6300000,0,3.5686274509803924
2,0,1,700000,2600000,12,429,1600000,1300000,2700000,800000,0,3.7142857142857144
3,1,0,400000,1200000,12,861,200000,600000,1100000,200000,1,3.0
0,0,1,9500000,20800000,14,565,15100000,11900000,33900000,13400000,1,2.1894736842105265
5,1,0,8800000,22600000,10,357,7900000,8600000,18200000,4900000,0,2.5681818181818183
3,0,1,1800000,3600000,18,465,600000,500000,5400000,2600000,0,2.0
4,0,1,6800000,13900000,8,479,11700000,9100000,25700000,9600000,0,2.0441176470588234
3,0,0,1500000,5500000,16,717,2100000,800000,4400000,1300000,1,3.6666666666666665
3,1,0,1600000,5500000,12,425,600000,800000,5400000,900000,0,3.4375
2,0,0,4600000,16700000,2,786,200000,5900000,13900000,6100000,1,3.630434782608696
5,0,1,2200000,6700000,6,382,4400000,1300000,8600000,1100000,0,3.0454545454545454
3,0,1,2900000,8500000,12,564,1000000,3100000,7500000,1800000,1,2.9310344827586206
0,1,0,200000,700000,8,501,500000,200000,700000,100000,0,3.5
2,0,1,2500000,9400000,10,727,6600000,4100000,9500000,3300000,1,3.76
4,0,0,3600000,7500000,6,894,1100000,6500000,7400000,2800000,1,2.0833333333333335
0,1,1,5500000,16700000,18,829,5500000,1300000,12800000,5900000,1,3.036363636363636
4,0,0,6600000,17400000,20,506,2600000,10000000,25900000,7200000,0,2.6363636363636362
2,1,1,8600000,32100000,6,802,9400000,16700000,24500000,9800000,1,3.7325581395348837
5,0,0,600000,1500000,14,543,300000,900000,2100000,300000,0,2.5
3,1,1,1400000,3200000,20,772,2400000,900000,5100000,1600000,1,2.2857142857142856
3,1,0,4000000,11100000,12,572,9700000,100000,12500000,2400000,1,2.775
0,0,1,4900000,11900000,16,709,14600000,900000,18500000,3800000,1,2.4285714285714284
5,1,0,2000000,6200000,18,402,4000000,2100000,7200000,1100000,0,3.1
1,0,1,5200000,19300000,8,481,14300000,9500000,18800000,4200000,0,3.7115384615384617
5,1,1,8900000,28800000,6,772,13600000,5500000,20400000,8400000,1,3.235955056179775
1,1,1,6500000,20600000,2,306,15900000,1900000,18100000,3200000,1,3.169230769230769
2,0,0,1300000,4500000,6,415,0,900000,2900000,1200000,0,3.4615384615384617
3,0,0,9400000,35000000,16,548,18200000,4400000,36100000,4800000,0,3.723404255319149
5,0,0,5000000,11200000,8,701,9100000,500000,14000000,4600000,1,2.24
2,1,0,3000000,7700000,12,890,4700000,4300000,8400000,2100000,1,2.566666666666667
5,0,1,9900000,33300000,6,364,5300000,18700000,27800000,8300000,0,3.3636363636363638
5,1,1,700000,1300000,20,704,1600000,0,2200000,600000,1,1.8571428571428572
3,1,1,4000000,10600000,10,318,1500000,5100000,8000000,4900000,0,2.65
5,0,0,3100000,9600000,2,761,5800000,1800000,10400000,4200000,1,3.096774193548387
4,0,0,4500000,15100000,6,693,3700000,1500000,17800000,6000000,1,3.3555555555555556
3,0,0,9700000,20600000,16,524,24200000,11100000,27400000,6100000,0,2.1237113402061856
2,0,1,2000000,5300000,10,681,4900000,1400000,4300000,2900000,1,2.65
2,1,1,8100000,22300000,18,737,22300000,12600000,27000000,7300000,1,2.753086419753086
0,0,0,5700000,15900000,16,638,100000,9500000,16300000,4500000,1,2.789473684210526
4,0,0,5800000,12800000,2,656,500000,5000000,16000000,2800000,1,2.206896551724138
1,1,0,1800000,6500000,6,540,2500000,3200000,5000000,1100000,0,3.611111111111111
4,0,1,9100000,35200000,6,341,1000000,300000,23100000,8200000,0,3.868131868131868
0,0,1,4800000,17500000,2,371,11700000,6800000,18700000,3500000,1,3.6458333333333335
3,0,1,3800000,10500000,12,886,4000000,500000,14900000,2300000,1,2.763157894736842
0,0,0,1900000,4100000,18,801,400000,800000,4800000,1200000,1,2.1578947368421053
3,0,1,3600000,9500000,16,748,7700000,2400000,9700000,2600000,1,2.638888888888889
2,0,1,7400000,28200000,8,376,21900000,5000000,17400000,5200000,0,3.810810810810811
4,0,1,6600000,14300000,8,371,10800000,9500000,18500000,7400000,0,2.1666666666666665
2,1,0,1800000,5300000,6,826,4500000,700000,6500000,1300000,1,2.9444444444444446
4,0,0,9200000,27200000,12,873,4500000,1800000,33800000,11400000,1,2.9565217391304346
5,0,1,2400000,8600000,8,309,500000,600000,5700000,2800000,0,3.5833333333333335
4,0,0,5600000,13300000,20,869,3300000,7500000,20000000,6500000,1,2.375
5,1,0,3800000,13900000,12,534,4700000,2900000,8200000,2800000,0,3.6578947368421053
3,0,1,4500000,17900000,6,787,9800000,3600000,14300000,4200000,1,3.977777777777778
0,1,1,900000,2200000,16,566,100000,700000,2000000,600000,1,2.4444444444444446
0,0,0,2800000,9900000,8,742,4900000,1300000,6700000,1700000,1,3.5357142857142856
2,0,0,7500000,23100000,4,824,12100000,10900000,26300000,9500000,1,3.08
4,1,0,1400000,3100000,14,575,3000000,2100000,4900000,1400000,1,2.2142857142857144
2,1,1,3800000,10900000,10,766,1900000,3900000,8600000,3000000,1,2.8684210526315788
1,0,1,1700000,5000000,10,888,2900000,900000,4100000,2200000,1,2.9411764705882355
3,1,1,9000000,30400000,6,638,16800000,11000000,26900000,9200000,1,3.3777777777777778
5,0,1,7300000,23300000,6,622,7100000,11600000,26400000,10500000,1,3.191780821917808
1,0,0,7400000,19800000,18,458,12600000,6200000,27700000,4000000,0,2.675675675675676
1,0,0,9000000,28200000,16,327,1700000,2300000,24000000,11200000,0,3.1333333333333333
0,0,0,3000000,6500000,2,612,8800000,3400000,6700000,1700000,1,2.1666666666666665
1,1,0,800000,2900000,8,682,2200000,1100000,2900000,700000,1,3.625
2,1,0,4800000,13200000,2,583,13700000,5800000,9500000,5200000,1,2.75
5,0,0,6400000,18300000,8,697,10000000,3600000,22500000,3600000,1,2.859375
3,1,0,9200000,27100000,12,306,5800000,11500000,28000000,9600000,0,2.9456521739130435
4,0,1,400000,1500000,2,669,-100000,600000,900000,500000,1,3.75
2,0,0,2800000,6000000,18,816,6300000,4200000,8000000,3400000,1,2.142857142857143
4,0,1,8500000,28900000,20,455,15200000,5800000,22500000,9400000,0,3.4
3,1,1,4700000,16400000,10,318,11400000,8100000,16200000,4300000,0,3.4893617021276597
4,0,1,9800000,21200000,20,355,22000000,8900000,31800000,14400000,0,2.163265306122449
2,0,1,3800000,8900000,16,389,200000,5600000,12200000,2200000,0,2.3421052631578947
2,1,0,500000,1500000,2,888,1500000,300000,1500000,600000,1,3.0
2,1,1,6900000,15600000,6,352,13000000,5300000,22600000,10000000,0,2.260869565217391
4,0,1,9600000,30100000,12,870,300000,6700000,38200000,5600000,1,3.1354166666666665
3,0,0,2900000,6500000,18,827,8300000,600000,10400000,3200000,1,2.2413793103448274
2,1,0,9800000,20900000,12,768,3400000,10200000,38600000,13400000,1,2.13265306122449
0,1,0,7100000,15400000,18,707,10300000,10800000,19600000,5800000,1,2.1690140845070425
1,0,1,7700000,19100000,10,355,11300000,4900000,21900000,6600000,0,2.4805194805194803
3,1,0,1400000,3300000,2,652,100000,2100000,3500000,1900000,1,2.357142857142857
3,1,0,7800000,15900000,2,665,14400000,900000,27200000,5400000,1,2.0384615384615383
5,0,1,1700000,6000000,18,420,500000,1600000,3700000,2300000,0,3.5294117647058822
2,0,0,8500000,32700000,18,471,12600000,9400000,33900000,12500000,0,3.847058823529412
5,0,0,1900000,7500000,20,715,5100000,2800000,6500000,2800000,1,3.9473684210526314
2,0,1,6700000,15200000,10,689,0,8200000,15000000,6800000,1,2.2686567164179103
3,1,1,6900000,16400000,4,787,11100000,6100000,26400000,3800000,1,2.3768115942028984
2,1,0,2600000,7800000,4,819,3100000,4300000,5700000,1500000,1,3.0
4,1,1,9600000,21100000,6,809,16100000,9500000,34700000,8700000,1,2.1979166666666665
1,0,1,6800000,17000000,2,744,15500000,3900000,23700000,3500000,1,2.5
0,0,0,3200000,11300000,6,484,3500000,5500000,8500000,2100000,0,3.53125
4,0,0,2900000,10400000,6,673,5100000,1700000,10600000,1700000,1,3.586206896551724
3,1,1,7900000,21200000,18,695,13800000,10600000,21800000,4900000,1,2.6835443037974684
4,0,1,3900000,12400000,12,473,6400000,4700000,13100000,3800000,0,3.1794871794871793
4,1,1,4600000,11000000,2,491,9000000,4000000,16100000,3500000,0,2.391304347826087
3,0,1,700000,1700000,8,733,1200000,800000,2400000,500000,1,2.4285714285714284
0,0,0,5200000,15600000,20,434,14100000,5800000,18100000,5500000,0,3.0
3,0,1,5900000,20600000,10,777,1900000,4600000,21200000,6400000,1,3.4915254237288136
4,1,0,7200000,19100000,4,774,9400000,7000000,17900000,3600000,1,2.6527777777777777
1,0,1,8700000,27000000,10,717,25500000,8600000,17500000,9100000,1,3.103448275862069
3,0,1,1100000,3500000,12,503,3000000,400000,2200000,1200000,0,3.1818181818181817
1,1,1,4000000,10900000,14,598,3600000,6600000,13600000,4400000,1,2.725
2,1,0,9800000,32400000,2,543,24200000,17500000,25700000,7700000,1,3.306122448979592
0,0,1,2700000,6800000,20,796,700000,4200000,7000000,1900000,1,2.5185185185185186
3,0,1,8800000,34600000,8,386,14800000,16500000,18400000,6000000,0,3.9318181818181817
5,0,1,3300000,7800000,16,632,8500000,500000,7100000,4900000,1,2.3636363636363638
1,1,1,6900000,23400000,4,481,18700000,1100000,23400000,10200000,1,3.391304347826087
3,1,1,900000,3500000,4,770,700000,0,2000000,600000,0,3.888888888888889
3,1,1,4100000,15500000,6,667,2800000,1600000,14700000,4000000,1,3.7804878048780486
3,0,1,4700000,17500000,8,585,1200000,3100000,9600000,4900000,1,3.723404255319149
5,1,1,3400000,11600000,16,479,9200000,5700000,11200000,2400000,0,3.411764705882353
2,1,0,9600000,22500000,18,851,7400000,16200000,24300000,12700000,1,2.34375
3,0,1,7000000,16200000,6,378,20000000,12600000,20300000,5500000,0,2.3142857142857145
5,1,0,5700000,12900000,18,807,4100000,900000,18600000,5500000,1,2.263157894736842
1,0,1,8200000,32400000,18,831,22800000,12300000,17700000,7800000,1,3.951219512195122
2,0,0,2100000,5100000,12,674,2200000,3200000,6400000,2400000,1,2.4285714285714284
1,0,1,8000000,28100000,18,725,1900000,12800000,23000000,7500000,1,3.5125
2,0,0,8000000,29300000,4,600,16500000,13200000,29400000,6500000,1,3.6625
0,0,1,9400000,27000000,10,536,4400000,1700000,33800000,4800000,0,2.872340425531915
0,1,0,8400000,20600000,10,477,1500000,1500000,25000000,11900000,0,2.4523809523809526
1,0,1,1900000,5000000,6,560,1000000,1900000,6300000,1400000,1,2.6315789473684212
0,0,1,4200000,16400000,20,539,9500000,2100000,11400000,3100000,0,3.9047619047619047
5,1,0,2600000,9100000,8,852,3700000,700000,10300000,3300000,1,3.5
3,0,0,3700000,8500000,20,853,8300000,5700000,7500000,4900000,1,2.2972972972972974
0,1,0,8800000,30900000,12,729,1700000,700000,25700000,11400000,1,3.5113636363636362
2,0,0,2100000,4700000,2,546,6000000,3200000,5700000,1500000,0,2.238095238095238
3,1,1,900000,2400000,10,489,800000,0,2800000,500000,0,2.6666666666666665
3,1,1,9800000,35400000,6,869,14400000,16400000,22800000,10300000,1,3.6122448979591835
2,0,0,8000000,20000000,2,502,4100000,2200000,31600000,9900000,0,2.5
0,1,0,9800000,38800000,8,652,23200000,19000000,29700000,5400000,1,3.9591836734693877
0,0,1,300000,1100000,8,789,400000,100000,800000,400000,1,3.6666666666666665
4,0,0,2700000,8100000,4,325,5000000,800000,9900000,3400000,1,3.0
3,1,1,7400000,19600000,2,716,4100000,8900000,29100000,4200000,1,2.6486486486486487
3,1,0,9200000,34300000,18,523,25600000,4000000,29100000,8800000,0,3.7282608695652173
5,0,0,9500000,22200000,20,352,24500000,0,30800000,7000000,0,2.336842105263158
5,1,1,3800000,14400000,2,345,3300000,800000,13000000,4700000,1,3.789473684210526
0,1,0,8300000,19400000,18,649,2500000,16100000,24300000,11300000,1,2.3373493975903616
2,1,1,2800000,7400000,18,666,100000,2300000,6300000,3400000,1,2.642857142857143
0,1,0,8600000,20900000,10,813,11300000,11900000,26000000,4800000,1,2.4302325581395348
0,0,0,5400000,16800000,10,599,5300000,7400000,14500000,7600000,1,3.111111111111111
5,1,1,4200000,9400000,6,678,4700000,5500000,9900000,5700000,1,2.238095238095238
5,0,0,5200000,12200000,20,513,13400000,2000000,16800000,5400000,0,2.3461538461538463
5,1,0,9400000,27900000,4,870,1100000,200000,29500000,10400000,1,2.9680851063829787
3,1,0,8800000,20400000,8,483,3200000,11400000,28200000,11800000,0,2.3181818181818183
1,1,1,5900000,16700000,16,308,5800000,8800000,19100000,5300000,0,2.830508474576271
3,1,1,1700000,4900000,16,591,4700000,1000000,4300000,1400000,1,2.8823529411764706
1,0,0,7000000,23000000,10,886,14000000,3700000,26700000,3600000,1,3.2857142857142856
4,0,0,1700000,4000000,6,829,0,1600000,5200000,1700000,1,2.3529411764705883
0,0,0,1500000,4900000,12,651,1600000,2800000,4600000,800000,1,3.2666666666666666
4,0,0,2000000,4700000,18,733,3700000,3700000,7000000,2800000,1,2.35
5,1,1,3900000,15500000,12,433,9500000,5400000,7900000,4600000,0,3.9743589743589745
1,1,1,900000,3600000,14,713,1300000,1000000,1800000,1200000,1,4.0
1,1,0,6900000,22500000,18,403,800000,8400000,16900000,6300000,0,3.260869565217391
0,1,1,2800000,7800000,10,405,7800000,2500000,7100000,3400000,0,2.7857142857142856
3,1,1,6800000,19900000,10,516,16000000,6000000,26000000,8500000,0,2.926470588235294
4,0,1,600000,1800000,8,417,1700000,700000,1800000,800000,0,3.0
1,0,0,4700000,14000000,6,468,11300000,1800000,10600000,4600000,0,2.978723404255319
5,1,1,3000000,11800000,10,672,8700000,3600000,9800000,4100000,1,3.933333333333333
5,0,0,4000000,13900000,6,530,6000000,5600000,12500000,6000000,0,3.475
1,0,1,3100000,11300000,14,824,3700000,6000000,11000000,4400000,1,3.6451612903225805
1,0,1,7700000,25500000,12,549,18100000,10600000,20500000,7000000,0,3.311688311688312
5,0,1,4300000,9300000,10,450,2100000,6700000,10000000,4100000,0,2.1627906976744184
1,1,1,5800000,19500000,20,431,13800000,5000000,15600000,3300000,0,3.3620689655172415
3,1,1,3600000,10700000,16,312,2300000,1600000,13100000,5200000,0,2.9722222222222223
0,0,1,2900000,7600000,8,320,8000000,5600000,9600000,3100000,0,2.6206896551724137
0,1,0,8800000,20200000,4,433,16000000,4200000,30500000,12400000,0,2.2954545454545454
1,0,1,300000,1000000,10,431,400000,500000,900000,100000,0,3.3333333333333335
5,0,1,8600000,28900000,8,516,9900000,1800000,30200000,6800000,0,3.36046511627907
2,0,1,3500000,12000000,14,476,1100000,6800000,12400000,2900000,0,3.4285714285714284
5,1,0,800000,2600000,6,560,100000,200000,3000000,1000000,1,3.25
2,1,0,8000000,27100000,12,674,14400000,400000,25300000,6400000,1,3.3875
0,0,1,9900000,38200000,6,573,17200000,10000000,20100000,5900000,1,3.8585858585858586
2,0,0,3300000,6600000,6,331,6300000,2000000,8900000,2700000,0,2.0
4,1,1,2000000,6700000,12,633,100000,800000,4800000,2000000,1,3.35
3,0,0,4900000,12900000,18,877,1800000,7000000,17900000,3300000,1,2.63265306122449
5,0,1,9200000,23600000,12,656,1400000,11200000,36400000,4900000,1,2.5652173913043477
0,0,0,7500000,18200000,6,782,7400000,12000000,19800000,4100000,1,2.4266666666666667
5,0,0,9000000,29300000,4,531,10400000,9500000,35500000,5800000,1,3.2555555555555555
3,0,0,1400000,4100000,8,455,3000000,1400000,2900000,2100000,0,2.9285714285714284
3,1,0,9600000,19900000,14,452,4200000,16200000,28500000,6600000,0,2.0729166666666665
2,1,0,8400000,33200000,14,474,19600000,15000000,25400000,11500000,0,3.9523809523809526
3,0,0,6400000,24400000,4,483,7800000,2400000,19100000,4500000,1,3.8125
4,1,0,5900000,16800000,8,481,6900000,11400000,19500000,3300000,0,2.847457627118644
2,1,1,2200000,5100000,20,859,3800000,1200000,6400000,3100000,1,2.3181818181818183
4,1,1,5600000,14100000,14,696,9000000,9200000,16500000,6800000,1,2.517857142857143
4,0,0,9800000,28700000,6,778,16600000,7400000,29700000,11100000,1,2.9285714285714284
4,1,0,4400000,14600000,4,499,1300000,6500000,16100000,5700000,1,3.3181818181818183
2,0,1,2400000,4900000,4,888,6400000,4300000,5100000,3400000,1,2.0416666666666665
1,1,0,4400000,10800000,12,674,9600000,2700000,17200000,5300000,1,2.4545454545454546
4,1,0,3700000,13200000,4,802,9800000,2400000,12500000,4300000,1,3.5675675675675675
4,0,1,2300000,7800000,8,540,1500000,3400000,4700000,2800000,0,3.391304347826087
4,1,1,5900000,19600000,8,726,17400000,6800000,20100000,8000000,1,3.3220338983050848
